payer_id,service_code,authorization_type,requires_prior_auth,required_documents,based_on_n_records,historical_denial_rate
PAY-0092,CPT36416,procedure,yes,,1,0.0
PAY-0092,CPT45378,procedure,yes,,1,0.0
PAY-0092,CPT70544,imaging,yes,,1,0.0
PAY-0092,CPT72141,imaging,yes,conservative_treatment_proof,1,1.0
PAY-0092,CPT93005,procedure,yes,,1,1.0
PAY-0092,CPT93010,procedure,yes,,1,0.0
PAY-0092,CPT99205,procedure,yes,,1,0.0
PAY-0092,CPT99212,procedure,yes,,1,0.0
PAY-0092,CPT99213,procedure,yes,,1,0.0
PAY-0092,HCPCS-E0117,DME,yes,,1,0.0
PAY-0092,HCPCS-E0181,DME,yes,,1,1.0
PAY-0092,HCPCS-E0265,DME,yes,,1,0.0
PAY-0092,HCPCS-E0630,DME,yes,,1,0.0
PAY-0092,NDC00093-5127-01,medication,no,,1,0.0
PAY-0092,NDC00143-9646-01,medication,no,,1,0.0
PAY-0092,NDC00615-1522-13,medication,no,conservative_treatment_proof,1,0.0
PAY-0211,CPT70450,imaging,yes,,1,0.0
PAY-0211,CPT71260,imaging,yes,,1,0.0
PAY-0211,CPT72148,imaging,yes,clinical_notes,1,1.0
PAY-0211,CPT93000,procedure,yes,,1,0.0
PAY-0211,CPT99203,procedure,yes,,1,0.0
PAY-0211,CPT99204,procedure,yes,,1,0.0
PAY-0211,HCPCS-E0113,DME,yes,,1,1.0
PAY-0211,HCPCS-E0277,DME,yes,clinical_notes,1,0.0
PAY-0211,HCPCS-E1399,DME,yes,,1,1.0
PAY-0211,NDC00093-0012-01,medication,no,conservative_treatment_proof,1,0.0
PAY-0211,NDC43598-0545-01,medication,no,,1,0.0
PAY-0445,CPT29881,procedure,yes,,1,0.0
PAY-0445,CPT36415,procedure,yes,,1,0.0
PAY-0445,CPT70551,imaging,yes,,1,0.0
PAY-0445,CPT71275,imaging,yes,,1,0.0
PAY-0445,CPT72125,imaging,yes,,1,0.0
PAY-0445,CPT72158,imaging,yes,,1,0.0
PAY-0445,CPT74177,imaging,yes,,1,0.0
PAY-0445,CPT74181,imaging,yes,,1,0.0
PAY-0445,CPT78607,imaging,yes,,1,0.0
PAY-0445,CPT99214,procedure,yes,,1,0.0
PAY-0445,CPT99215,procedure,yes,,1,0.0
PAY-0445,HCPCS-E0114,DME,yes,,1,0.0
PAY-0445,HCPCS-E0143,DME,yes,,1,0.0
PAY-0445,HCPCS-E0156,DME,yes,,1,0.0
PAY-0445,HCPCS-E0165,DME,yes,,1,1.0
PAY-0445,HCPCS-E0607,DME,yes,,1,0.0
PAY-0445,NDC00006-0117-01,medication,no,,1,0.0
PAY-0445,NDC00006-0572-61,medication,yes,conservative_treatment_proof,1,1.0
PAY-0445,NDC00043-0008-41,medication,no,,1,0.0
PAY-0445,NDC00054-3542-25,medication,yes,conservative_treatment_proof,1,1.0
PAY-0445,NDC00078-0616-15,medication,yes,,1,1.0
PAY-0445,NDC00093-1047-01,medication,yes,,1,1.0
PAY-0445,NDC00093-7532-01,medication,no,,1,0.0
PAY-2001,CPT-27245,procedure,yes,,1,1.0
PAY-2001,CPT-43235,procedure,yes,,1,1.0
PAY-2001,CPT-71250,imaging,yes,imaging_report,1,0.0
PAY-2001,HCPCS-E0601,DME,yes,clinical_notes,1,1.0
PAY-2001,HCPCS-E0609,DME,yes,,1,1.0
PAY-2001,HCPCS-E0784,DME,yes,,1,1.0
PAY-2002,NDC-00003-0251,medication,no,conservative_treatment_proof,1,0.0
PAY-2002,NDC-00004-0185,medication,yes,,1,1.0
PAY-2002,NDC-00006-0574,medication,no,,1,0.0
PAY-2002,NDC-00009-0055,medication,yes,,1,1.0
PAY-2002,NDC-00037-6001,medication,no,,1,0.0
PAY-2002,NDC-00054-8177,medication,no,,1,0.0
PAY-2002,NDC-00093-0026,medication,no,,1,0.0
PAY-2002,NDC-00093-5141,medication,no,,1,0.0
PAY-2002,NDC-00143-9695,medication,yes,,1,1.0
PAY-2002,NDC-00185-0105,medication,no,,1,0.0
PAY-2002,NDC-00378-5221,medication,no,,1,0.0
PAY-2002,NDC-00781-1506,medication,no,,1,0.0
PAY-2002,NDC-66993-0147,medication,no,,1,0.0
PAY-2003,CPT-71046,imaging,yes,imaging_report,1,1.0
PAY-2003,CPT-73562,procedure,yes,,1,0.0
PAY-2003,CPT-73564,imaging,yes,,1,0.0
PAY-2003,CPT-93000,procedure,yes,,1,0.0
PAY-2004,CPT-20610,procedure,yes,,1,0.0
PAY-2004,CPT-29827,procedure,yes,,1,0.0
PAY-2004,CPT-29881,procedure,yes,,1,0.0
PAY-2004,CPT-29888,procedure,yes,,1,1.0
PAY-2004,CPT-31500,procedure,yes,,1,0.0
PAY-2004,CPT-45378,procedure,yes,,1,0.0
PAY-2004,CPT-47562,procedure,yes,,1,0.0
PAY-2004,CPT-66982,procedure,yes,,1,0.0
PAY-2004,CPT-66984,procedure,yes,,1,0.0
PAY-2005,CPT-70551,imaging,yes,,1,0.0
PAY-2005,CPT-72141,imaging,yes,,1,0.0
PAY-2005,CPT-72148,imaging,yes,imaging_report,1,1.0
PAY-2005,CPT-72156,imaging,yes,,1,0.0
PAY-2005,CPT-72158,imaging,yes,,1,1.0
PAY-2005,CPT-74177,imaging,yes,,1,1.0
PAY-2005,CPT-76380,imaging,yes,imaging_report,1,1.0
PAY-2005,CPT-76700,imaging,yes,,1,0.0
PAY-2005,CPT-77067,imaging,yes,,1,0.0
PAY-2006,HCPCS-A4253,DME,yes,,1,0.0
PAY-2006,HCPCS-E0114,DME,yes,,1,0.0
PAY-2006,HCPCS-E0118,DME,yes,,1,0.0
PAY-2006,HCPCS-E0143,DME,yes,conservative_treatment_proof,1,0.0
PAY-2006,HCPCS-E0163,DME,yes,,1,1.0
PAY-2006,HCPCS-E0570,DME,yes,,1,0.0
PAY-2006,HCPCS-E0730,DME,yes,conservative_treatment_proof,1,0.0
PAY-2006,HCPCS-E0747,DME,yes,,1,0.0
PAY-2006,HCPCS-E1390,DME,yes,,1,1.0
